hospital_id|hospital_name|location|contact_number|specialty|bed_count|rating|affiliated_provider|is_network_hospital|emergency_services|ambulance_services|address|city|state|zip_code
1|City Hospital|New York|800-111-2222|General|200|4.5|HealthCare Inc.|Yes|Yes|Yes|123 Main St|New York|NY|10001
2|General Hospital|Los Angeles|800-333-4444|General Surgery|300|4.8|HealthCare Inc.|Yes|Yes|Yes|456 Elm St|Los Angeles|CA|90001
3|Dental World|Chicago|800-555-6666|Dental|50|4.0|DentalCare Ltd.|No|No|No|789 Oak St|Chicago|IL|60601
4|Pediatric Care Center|San Francisco|800-777-8888|Pediatrics|120|4.7|WellHealth Insurance|Yes|Yes|Yes|101 Pine St|San Francisco|CA|94101
5|Eye Care Clinic|Seattle|800-999-0000|Ophthalmology|30|4.2|EyeCare Corp.|No|No|No|202 Cedar St|Seattle|WA|98101
6|Trauma Center|Miami|800-121-3434|Trauma|250|4.9|AccidentCare Ltd.|Yes|Yes|Yes|303 Palm St|Miami|FL|33101
7|Cancer Specialty Hospital|Houston|800-232-4545|Oncology|400|5.0|CriticalCare Insurance|Yes|Yes|Yes|404 Magnolia St|Houston|TX|77001
8|Heart Health Center|Boston|800-343-5656|Cardiology|200|4.6|CriticalCare Insurance|Yes|Yes|Yes|505 Ash St|Boston|MA|02101
9|Women's Health Clinic|Atlanta|800-454-6767|Gynecology|100|4.3|Maternity Health Group|Yes|Yes|No|606 Birch St|Atlanta|GA|30301
10|Urgent Care Facility|Dallas|800-565-7878|Urgent Care|50|4.4|QuickCare Insurance|Yes|Yes|No|707 Maple St|Dallas|TX|75201
